episode,avg_return_raw,avg_cost_per_step,avg_hold_cost,avg_backlog_cost,avg_smooth_cost,avg_total_cost
1,-2497.516,2497.516,1218.1538206338882,1250.395464539528,28.966652784636292,2497.5159379580523
2,-2264.3057,2264.3057,1208.5464830547571,1021.462263584137,34.2969744036017,2264.305721042496
3,-3104.0527,3104.0527,1260.028840124607,1816.0545961260796,27.969376983354255,3104.052813234041
4,-1768.0294,1768.0294,1215.814526885748,522.2410928606987,29.97372853227192,1768.0293482787185
5,-2645.7131,2645.7131,1425.2861659824848,1189.5672537982464,30.859746297215906,2645.713166077947
6,-1430.7279,1430.7279,1310.2928642481565,95.96835409104824,24.466715421258076,1430.727933760463
7,-2469.6792,2469.6792,1173.2201434969902,1268.1400361955166,28.319103122581126,2469.679282815088
8,-3485.9668,3485.9668,1178.3795197308064,2278.631036043167,28.956062680354968,3485.9666184543285
9,-3157.9084,3157.9084,1110.554228246212,2018.0742661952972,29.280699420818294,3157.9091938623274
10,-3359.5825,3359.5825,916.4229570031166,2412.715197145939,30.443687767924356,3359.58184191698
11,-3025.1875,3025.1875,1766.3468875735998,1228.1731348633766,30.666759886301865,3025.1867823232783
12,-2794.9329,2794.9329,1395.9565237909555,1366.8195366859436,32.15740776491178,2794.9334682418107
13,-3507.6829,3507.6829,1124.1094289124012,2351.354595541954,32.21812061808623,3507.6821450724415
14,-2693.545,2693.545,1169.491283774376,1496.8477019369602,27.205992014296122,2693.544977725632
15,-3804.2166,3804.2166,1134.0099828839302,2634.956462621689,35.24962574824999,3804.216071253869
16,-2616.015,2616.015,1094.2176586911082,1490.25007507205,31.546869600304735,2616.0146033634633
17,-2724.0864,2724.0864,1231.6195697933435,1464.836564898491,27.629895434036904,2724.0860301258713
18,-3065.9695,3065.9695,957.1965110450983,2079.1163353919983,29.656356424630413,3065.969202861727
19,-2122.5608,2122.5608,1326.2611080259085,763.5095919668674,32.7899254886382,2122.5606254814143
20,-2218.3896,2218.3896,958.0509138405323,1228.9612250477076,31.37776932998724,2218.389908218227
21,-3907.3167,3907.3167,901.5435769855976,2973.839954853058,31.93363381291953,3907.317165651575
22,-1709.6156,1709.6156,1343.2431342154741,335.86621905863285,30.506195508517045,1709.615548782624
23,-2246.5322,2246.5322,1438.8351573720574,778.4925905168056,29.20435198951594,2246.532099878379
24,-2893.926,2893.926,1122.1396977454424,1742.855695143342,28.930899486995227,2893.9262923757797
25,-2232.2385,2232.2385,1258.0345409289002,939.1530683487654,35.05083755129502,2232.2384468289606
26,-2856.633,2856.633,1259.3995994105935,1570.4593260288239,26.773926321183552,2856.6328517606007
27,-2203.5503,2203.5503,1274.9789500162005,900.2204313278198,28.35065344909279,2203.5500347931134
28,-3044.9055,3044.9055,1005.4435555785894,2012.0468983650208,27.415122215433655,3044.905576159044
29,-1820.7444,1820.7444,1207.9978541135788,583.5028310418129,29.2437934709666,1820.7444786263584
30,-2242.0903,2242.0903,1054.2538779899478,1158.8606988191605,28.976610034314525,2242.0911868434227
31,-2797.752,2797.752,1078.957588672638,1691.9425301551819,26.85249714462066,2797.7526159724407
32,-3020.2861,3020.2861,1156.5404158756137,1836.1470787525177,27.598803415840496,3020.286298043972
33,-2072.6304,2072.6304,1204.4398075789213,840.8168484419584,27.373545596188936,2072.630201617069
34,-1820.8367,1820.8367,1305.9077187217772,485.60311509668827,29.325579686928766,1820.8364135053941
35,-3058.0408,3058.0408,1152.1782911121845,1877.1970798969269,28.665139238651893,3058.0405102477635
36,-2745.0332,2745.0332,1237.7738431096077,1477.8487467765808,29.41104994291039,2745.033639829099
37,-2162.063,2162.063,1360.4540091902018,775.0376877188683,26.57068691462707,2162.062383823697
38,-1477.2252,1477.2252,1416.1911590248346,34.14234200119972,26.891938012665282,1477.2254390386997
39,-2885.4539,2885.4539,1091.294040851295,1767.4178895950317,26.742290690151336,2885.4542211364783
40,-1942.8529,1942.8529,1093.6742629036307,823.8379850387573,25.340841918608596,1942.8530898609968
41,-1889.1628,1889.1628,1258.2904157042503,602.3600365519524,28.512642590061954,1889.1630948462646
42,-1796.8783,1796.8783,1194.8149640113115,574.3871507942677,27.675994421071856,1796.878109226651
43,-1893.1537,1893.1537,1306.5371583253145,558.6732829660177,27.94262197416504,1893.1530632654974
44,-1499.7097,1499.7097,1283.0408304184675,184.43082040548325,32.23772228589333,1499.7093731098441
45,-1428.5204,1428.5204,1063.0340963080525,336.7262172102928,28.760249006812955,1428.5205625251583
46,-1686.9943,1686.9943,1238.3865713626146,420.8920460790396,27.71577270155557,1686.9943901432098
47,-2270.5466,2270.5466,1248.4806409925222,994.4837103486061,27.582193542289524,2270.546544883418
48,-2391.005,2391.005,1095.0192908123136,1267.0305471420288,28.954119166486404,2391.0039571208285
49,-2573.8394,2573.8394,1215.0545687042177,1334.8850751519203,23.89978099354805,2573.839424849686
50,-2996.1929,2996.1929,1251.8566867783666,1717.4743387699127,26.861741964278806,2996.192767512558
51,-1808.948,1808.948,1167.603833541274,613.5857548713684,27.758393422035855,1808.9479818346783
52,-3472.5654,3472.5654,1261.5900947749615,2186.229804456234,24.74632171616157,3472.566220947357
53,-1752.8236,1752.8236,1295.847616404295,428.9848007708788,27.991143441514527,1752.8235606166884
54,-2827.9565,2827.9565,1053.161703646183,1744.6879439353943,30.107123426626597,2827.9567710082038
55,-2074.7815,2074.7815,1030.513107739389,1016.0195667743683,28.249322552498054,2074.7819970662554
56,-1687.3748,1687.3748,1302.169207803905,357.1506118774414,28.055238548113575,1687.37505822946
57,-2063.648,2063.648,1024.9654846042395,1010.1796281337738,28.502601668351957,2063.647714406365
58,-3006.8425,3006.8425,1178.5610956698656,1797.8758718967438,30.4059029923077,3006.842870558917
59,-2369.1782,2369.1782,1007.8610728979111,1334.9504417181015,26.36646836233284,2369.1779829783454
60,-2074.2249,2074.2249,1244.650708436966,798.3081393241882,31.266013027299227,2074.2248607884535
61,-1524.4229,1524.4229,1123.1000141948462,370.5455012470484,30.777549063341834,1524.4230645052364
62,-3177.4678,3177.4678,745.9358272850513,2405.048897624016,26.48262762811803,3177.467352537185
63,-1627.2095,1627.2095,1160.436721228063,441.22923269867897,25.543445971051963,1627.2093998977941
64,-1534.1185,1534.1185,1171.751599997282,337.5165348649025,24.850175121487577,1534.1183099836721
65,-1833.7478,1833.7478,1291.55912283808,515.5269137322903,26.66151039495884,1833.747546965329
66,-2544.5652,2544.5652,1092.7523336559534,1423.924190044403,27.889008102509532,2544.565531802866
67,-1564.4471,1564.4471,1342.2754677832127,196.96743673086166,25.2044315359008,1564.447336049975
68,-1264.3512,1264.3512,1109.7283753603697,127.74888171255589,26.8738272139693,1264.3510842868948
69,-1540.0897,1540.0897,1068.6899382434785,443.4839079976082,27.91592850222562,1540.0897747433123
70,-1826.5472,1826.5472,1105.7501891553402,695.4189298152924,25.378107351978105,1826.5472263226106
71,-1741.2847,1741.2847,1236.6861582919955,478.18278977274895,26.41561842581182,1741.2845664905562
72,-1405.0874,1405.0874,1338.8098525702953,40.511508628726006,25.76628054765713,1405.0876417466784
73,-2730.943,2730.943,1015.2108730375767,1690.3301841020584,25.40184333852764,2730.9429004781628
74,-1405.1765,1405.1765,1006.0248970091343,369.02632343769073,30.12528188010256,1405.1765023269277
75,-2023.434,2023.434,1088.6619221195579,908.0965491533279,26.675125876958358,2023.4335971498442
76,-2292.7568,2292.7568,1111.5798508375883,1157.9086219966412,23.268467529172312,2292.7569403634016
77,-1579.226,1579.226,1017.7852601259947,534.222188025713,27.218552318179185,1579.226000469887
78,-2417.381,2417.381,1124.6152831166983,1265.1446990966797,27.621245989245125,2417.381228202623
79,-1844.4813,1844.4813,1348.845230191946,468.4369511306286,27.199257931137847,1844.4814392537126
80,-1461.5985,1461.5985,1101.3367602080107,333.65909039229155,26.602752183883663,1461.598602784186
81,-1388.0352,1388.0352,1165.930177487433,197.05097818374634,25.054317676392685,1388.035473347572
82,-2521.9426,2521.9426,947.755711376667,1546.0272828638554,28.158954635376777,2521.941948875899
83,-1396.2222,1396.2222,1192.9005263894796,176.47596156597137,26.84551491449712,1396.222002869948
84,-1293.9103,1293.9103,1110.3760370463133,159.91608048975468,23.618136952205752,1293.9102544882737
85,-1197.3464,1197.3464,1073.721897944808,97.41437096893787,26.21034891409866,1197.3466178278445
86,-1462.3568,1462.3568,1100.5274462103844,338.2889311313629,23.540719782583675,1462.357097124331
87,-2285.019,2285.019,923.5034451931715,1339.1467239260674,22.368762689684882,2285.0189318089238
88,-1455.0266,1455.0266,899.0058488920331,529.2640395462513,26.75667491360881,1455.0265633518932
89,-1341.204,1341.204,1197.4615540504456,123.78717163205147,19.95520379366948,1341.2039294761664
90,-1112.527,1112.527,951.8100786879659,139.65382865071297,21.06325501021297,1112.5271623488918
91,-1189.6139,1189.6139,973.9612462371588,193.06348480284214,22.589315619049447,1189.6140466590505
92,-1074.1293,1074.1293,978.8534275796264,71.21952714025974,24.05638459291604,1074.1293393128021
93,-1090.6047,1090.6047,1020.2518254518509,45.13010334968567,25.2227163684586,1090.6046451699951
94,-1106.7832,1106.7832,930.7381312847137,154.7928039431572,21.25236718646672,1106.7833024143376
95,-1117.7487,1117.7487,883.9619170725346,210.23204761743546,23.554681665135934,1117.7486463551058
96,-1055.9961,1055.9961,974.5266292318702,58.26600003242493,23.20369950280502,1055.9963287671
97,-1016.9099,1016.9099,882.4381628483534,111.10171455144882,23.370153384026246,1016.9100307838285
98,-1215.4082,1215.4082,1087.7412347197533,105.29279300570488,22.374193238932396,1215.4082209643905
99,-1052.3793,1052.3793,907.7880770266056,122.31996795535088,22.270902387808963,1052.3789473697655
100,-1174.0393,1174.0393,1005.5747421681881,148.46765285730362,19.996954597461475,1174.0393496229533
101,-1338.5834,1338.5834,1023.0913883894682,292.58434623479843,22.907738875531887,1338.5834734997984
102,-1260.034,1260.034,1151.4740186035633,83.49473062157631,25.06519856784686,1260.0339477929865
103,-1169.4855,1169.4855,875.8827818185091,265.81147387623787,27.790975638728717,1169.4852313334757
104,-1296.8083,1296.8083,1032.2500242069364,243.83170795440674,20.72649536555419,1296.8082275268973
105,-1154.9064,1154.9064,938.1214025616646,193.68733617663383,23.097628295482185,1154.9063670337805
106,-1184.2549,1184.2549,991.0531439781189,173.59389321506023,19.607773953154407,1184.2548111463336
107,-1170.5432,1170.5432,1083.542621806264,67.92914080619812,19.07142004083428,1170.5431826532963
108,-1040.2261,1040.2261,918.6888077557087,99.8446972668171,21.692477722226645,1040.2259827447524
109,-1310.6298,1310.6298,952.1256055980921,340.2415089607239,18.262901632751582,1310.6300161915676
110,-934.1404,934.1404,818.3737569749355,96.21091617643833,19.55588577310138,934.1405589244753
111,-1267.3324,1267.3324,1063.4183426946402,183.36209917068481,20.55197698230997,1267.332418847635
112,-1245.5009,1245.5009,878.8360108286142,343.6302482634783,23.03439645731309,1245.5006555494056
113,-1519.5956,1519.5956,828.2765346467495,674.4914724230766,16.827431165947385,1519.5954382357736
114,-1261.6292,1261.6292,906.7457603290677,336.6273608803749,18.25582963288084,1261.6289508423235
115,-920.7703,920.7703,807.9384776949883,94.26591551303864,18.56574723556112,920.770140443588
116,-1496.9167,1496.9167,550.6563368365169,925.301411151886,20.95915881884579,1496.9169068072486
117,-986.3866,986.3866,828.357623487711,139.23755876719952,18.79124238515301,986.3864246400635
118,-1029.6627,1029.6627,808.3646053262055,201.568871229887,19.72920917089799,1029.6626857269905
119,-1287.4873,1287.4873,572.5512775704265,695.4214545339346,19.514545345646034,1287.487277450007
120,-762.9124,762.9124,666.7074588835239,76.64099007844925,19.56381586902442,762.9122648309976
121,-713.1424,713.1424,584.637902662158,108.66240981221199,19.842164422345906,713.142476896716
122,-629.78107,629.78107,585.6452507153153,25.654584392905235,18.48126251195629,629.7810976201769
123,-1065.3888,1065.3888,643.192210316658,406.3626896440983,15.834079185048559,1065.3889791458048
124,-933.6628,933.6628,560.0448857024312,358.22371608018875,15.394202628479997,933.6628044111
125,-645.9183,645.9183,492.3374978005886,134.40922737121582,19.171631236389523,645.918356408194
126,-1144.987,1144.987,417.3501521795988,708.3351588845253,19.30197105733719,1144.9872821214612
127,-779.3233,779.3233,477.85101210325956,280.1748358607292,21.29749688521902,779.3233448492078
128,-681.579,681.579,426.3112843632698,235.26242542266846,20.005388061529565,681.5790978474678
129,-523.2207,523.2207,419.7073278725147,85.2646010145545,18.24876876814019,523.2206976552094
130,-658.91455,658.91455,369.7448769956827,268.0730229616165,21.096658304973225,658.9145582622724
131,-539.8084,539.8084,470.619921438396,52.00251787900925,17.186026986334287,539.8084663037395
132,-455.88086,455.88086,378.1256243735552,58.57338134944439,19.18176992784743,455.880775650847
133,-520.9056,520.9056,384.61018327251077,116.65021589398384,19.64522210285152,520.9056212693462
134,-577.64557,577.64557,445.05235406011343,115.4291061758995,17.16405060780854,577.6455108438215
135,-512.0809,512.0809,426.0058566778898,65.37385208904743,20.70121623243891,512.0809249993762
136,-570.18756,570.18756,451.3694016635418,101.28631602227688,17.5317247058089,570.1874423916275
137,-569.3455,569.3455,448.54726941883564,102.83569863438606,17.96252845580729,569.345496509029
